Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,Active Hours,On Hours,User Hours
month,Student,Active,03/01/21,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,2.47,1.73
month,Student,Active,02/01/21,32.4,11.82,8.85,6.32,8.05,1.5,1.57,1.65,1.07,1.72,5.13,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.75,253.83,284.7
month,Student,Active,01/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,12/01/20,25.87,4.52,1.87,1.2,0.25,1.92,2.32,2.17,3.53,2.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.33,325.93,161.6
month,Student,Active,11/01/20,31.53,16.47,7.33,4.82,3.95,2.88,3.18,3.4,7.48,6.47,2.23,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4,455.97,368.65
month,Student,Active,10/01/20,49.9,6.2,3.6,1.73,1.58,2.48,1.32,2.4,2.22,2.28,2.13,5.47,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.02,351.02,298.22
month,Student,Active,09/01/20,25.67,8.62,5.25,3.28,1.82,3.0,3.3,2.58,2.77,5.33,8.63,3.78,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.65,329.1,421.25
month,Student,Active,08/01/20,27.13,8.15,2.67,3.77,2.87,2.28,2.67,2.28,3.78,2.42,2.98,3.12,2.92,2.27,0.02,0.0,0.0,0.0,0.0,0.0,0.0,69.32,358.72,329.8
month,Student,Active,07/01/20,16.12,1.93,2.47,1.9,0.95,0.68,0.28,0.23,0.08,0.23,0.1,0.17,0.4,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.58,225.28,73.53
month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,03/01/20,20.3,10.27,4.35,2.02,1.18,1.13,1.03,0.57,0.48,0.72,0.77,0.78,0.13,0.73,0.3,0.55,0.0,0.0,0.0,0.0,0.0,45.32,107.28,141.08
month,Student,Active,02/01/20,53.63,17.82,7.7,4.72,2.57,2.43,2.05,2.55,2.38,3.48,2.32,3.2,2.68,3.07,1.33,0.17,0.0,0.0,0.0,0.0,0.0,112.1,361.32,414.07
month,Student,Active,01/01/20,24.58,13.5,7.57,5.18,4.53,2.78,2.3,2.22,2.1,2.13,1.9,2.18,1.33,1.57,2.03,2.32,0.67,0.25,0.0,0.0,0.0,79.15,262.8,378.22
month,Student,Active,12/01/19,7.85,1.4,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.08,19.95,16.15
month,Student,Active,11/01/19,54.03,11.88,7.45,7.88,3.37,4.92,7.02,11.75,7.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.65,212.6,387.38
month,Student,Active,10/01/19,32.82,13.6,8.4,4.83,5.0,3.17,3.02,1.02,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.97,175.58,178.85
month,Student,All,03/01/21,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,2.47,1.75
month,Student,All,02/01/21,57.8,36.75,13.57,16.77,19.87,4.33,1.82,2.17,1.65,1.3,3.97,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.28,253.83,505.53
month,Student,All,01/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,12/01/20,40.77,28.18,36.58,7.18,0.95,1.9,1.65,3.37,3.83,2.18,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.82,325.93,370.97
month,Student,All,11/01/20,75.87,114.38,42.98,48.92,13.63,2.6,20.75,4.0,4.03,5.97,6.37,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.03,455.97,1098.67
month,Student,All,10/01/20,26.67,9.95,49.77,33.73,1.03,2.75,14.48,2.87,1.45,2.12,2.85,5.12,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.83,351.02,669.4
month,Student,All,09/01/20,22.35,21.02,113.13,11.8,1.28,22.52,31.83,2.07,2.48,3.4,10.97,4.1,6.33,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.43,329.1,1156.48
month,Student,All,08/01/20,59.12,52.9,45.58,27.73,8.0,2.28,11.22,3.2,3.3,3.62,2.52,2.52,2.57,4.77,0.18,0.0,0.0,0.0,0.0,0.0,0.0,229.5,358.72,797.02
month,Student,All,07/01/20,151.72,6.45,1.9,2.27,1.58,10.28,0.17,0.27,0.33,0.2,0.08,0.15,0.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.9,225.28,280.72
