Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,Active Hours,On Hours,User Hours
month,Student,Active,02/01/21,3.0,0.83,0.93,0.9,0.35,0.17,0.03,0.0,0.0,0.02,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,62.45,15.05
month,Student,Active,01/01/21,2.0,2.1,1.63,0.82,0.95,0.88,1.72,2.82,1.5,1.12,0.42,0.38,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.65,70.0,96.93
month,Student,Active,12/01/20,1.68,0.08,0.03,0.22,0.13,0.17,0.05,0.0,0.05,0.03,0.1,0.4,0.27,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,13.18,17.32
month,Student,Active,11/01/20,29.58,12.67,5.0,2.88,1.83,1.53,2.28,2.83,3.98,2.53,1.97,2.92,2.63,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.25,148.3,298.92
month,Student,Active,10/01/20,39.7,15.88,8.88,2.0,1.73,1.23,0.75,0.67,1.25,1.47,2.85,4.28,5.42,5.65,6.83,6.77,0.0,0.0,0.0,0.0,0.0,105.37,172.25,601.72
month,Student,Active,09/01/20,30.6,15.37,3.0,4.47,1.95,1.23,2.25,1.37,1.18,3.23,3.0,4.9,7.05,3.28,2.1,1.42,0.0,0.0,0.0,0.0,0.0,86.4,153.2,458.6
month,Student,Active,08/01/20,32.08,27.88,9.87,6.45,2.42,1.5,1.48,2.58,2.68,2.12,2.1,2.12,1.58,0.87,0.18,0.0,0.0,0.0,0.0,0.0,0.0,95.92,193.13,324.67
month,Student,Active,07/01/20,4.18,1.42,2.32,1.53,1.85,0.72,0.87,0.8,0.77,2.3,0.72,1.65,2.02,2.77,0.55,0.0,0.0,0.0,0.0,0.0,0.0,24.45,83.22,176.9
month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,03/01/20,7.45,2.42,0.82,0.55,0.62,0.6,0.5,0.73,1.3,1.47,2.73,2.68,3.12,3.58,3.28,2.12,0.2,0.0,0.0,0.0,0.0,34.17,49.62,298.82
month,Student,Active,02/01/20,5.72,3.22,0.43,0.68,0.68,1.05,1.4,2.1,3.75,3.72,5.03,6.03,8.53,9.57,8.95,6.7,0.18,0.0,0.0,0.0,0.0,67.75,104.98,740.62
month,Student,Active,01/01/20,3.33,1.2,1.1,0.77,0.82,1.28,1.23,1.48,2.58,2.9,3.6,4.1,7.27,8.88,5.82,2.38,0.0,0.0,0.0,0.0,0.0,48.75,104.07,529.65
month,Student,Active,12/01/19,0.57,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,23.38,0.73
month,Student,Active,11/01/19,8.32,1.27,1.32,1.83,0.65,0.42,0.38,0.32,0.45,0.38,0.3,0.2,0.33,0.18,0.17,0.2,0.0,0.0,0.0,0.0,0.0,16.72,29.6,59.28
month,Student,Active,10/01/19,5.73,9.6,9.6,2.43,1.48,2.07,2.0,2.17,2.0,1.45,1.4,1.15,1.48,3.87,3.18,3.4,1.3,0.0,0.0,0.0,0.0,54.32,136.3,373.98
month,Student,Active,09/01/19,4.02,1.98,2.5,3.52,1.75,0.92,1.13,0.62,1.38,0.85,0.85,0.72,1.77,1.82,3.68,4.62,0.0,0.0,0.0,0.0,0.0,32.12,97.1,273.08
month,Student,All,02/01/21,3.02,0.83,0.93,0.9,0.33,0.17,0.05,0.0,0.0,0.02,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32,62.45,15.1
month,Student,All,01/01/21,1.7,2.58,1.62,0.83,0.95,0.87,1.72,2.83,1.5,1.12,0.42,0.38,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.83,70.0,97.65
month,Student,All,12/01/20,2.75,0.08,0.03,0.22,0.13,0.17,0.05,0.0,0.05,0.03,0.1,0.4,0.27,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,13.18,18.38
month,Student,All,11/01/20,32.03,13.07,6.32,3.6,2.93,1.58,2.32,2.77,3.98,2.55,1.95,2.72,2.92,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.33,148.3,315.75
month,Student,All,10/01/20,39.38,19.52,11.73,2.68,1.08,1.55,0.7,0.45,0.92,1.32,4.12,3.43,5.2,7.22,7.53,8.15,0.0,0.0,0.0,0.0,0.0,114.98,172.25,667.5
month,Student,All,09/01/20,30.78,23.45,3.58,5.4,4.6,1.62,1.9,1.45,1.17,2.6,2.0,3.83,7.63,5.08,2.72,1.93,0.0,0.0,0.0,0.0,0.0,99.75,153.2,514.22
month,Student,All,08/01/20,32.42,28.7,10.58,10.85,4.17,1.97,1.88,2.57,2.58,2.28,2.7,2.2,1.6,1.02,0.2,0.0,0.0,0.0,0.0,0.0,0.0,105.72,193.13,371.53
month,Student,All,07/01/20,4.43,3.83,2.32,1.53,1.85,0.7,0.88,0.8,0.77,2.3,0.72,1.63,2.02,2.78,0.55,0.0,0.0,0.0,0.0,0.0,0.0,27.12,83.22,182.03
month,Student,All,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,03/01/20,7.4,1.15,2.47,0.78,2.25,0.52,0.38,0.47,1.4,1.27,2.53,2.52,2.65,3.5,3.72,2.97,0.47,0.0,0.0,0.0,0.0,36.43,49.62,318.93
month,Student,All,02/01/20,6.5,4.25,1.02,1.72,0.48,0.92,1.25,1.62,3.3,3.18,4.07,4.22,7.95,9.82,10.33,10.5,0.47,0.0,0.0,0.0,0.0,71.58,104.98,783.1
month,Student,All,01/01/20,5.32,1.98,0.62,0.52,0.37,0.48,0.97,1.72,2.12,3.72,3.85,4.6,6.45,8.85,7.45,4.2,0.0,0.0,0.0,0.0,0.0,53.2,104.07,578.9
month,Student,All,12/01/19,0.57,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,23.38,0.78
