Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,Active Hours,On Hours,User Hours
month,Student,Active,02/01/21,0.08,0.32,0.15,0.82,0.88,1.1,0.57,1.22,0.67,0.72,0.93,1.15,1.52,0.68,0.08,0.0,0.0,0.0,0.0,0.0,0.0,10.88,22.03,96.92
month,Student,Active,01/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0
month,Student,Active,12/01/20,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.85,0.28
month,Student,Active,11/01/20,3.37,1.5,2.02,0.7,0.48,0.28,0.3,0.62,1.1,1.8,1.95,2.32,2.05,2.25,2.9,1.88,0.83,0.02,0.0,0.0,0.0,26.37,40.58,249.77
month,Student,Active,10/01/20,13.97,6.65,5.73,5.42,5.58,6.05,5.18,5.92,5.97,7.85,9.72,12.68,10.55,10.38,9.38,4.67,0.08,0.0,0.0,0.0,0.0,125.78,154.1,1104.6
month,Student,Active,09/01/20,13.18,7.83,5.53,4.6,2.65,2.27,2.3,2.37,3.48,3.73,4.6,5.7,5.03,3.1,3.15,0.08,0.0,0.0,0.0,0.0,0.0,69.62,110.12,470.83
month,Student,Active,08/01/20,0.67,0.3,0.02,0.02,0.03,0.17,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,10.58,3.6
month,Student,Active,07/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,03/01/20,2.75,0.37,0.33,0.4,0.62,0.7,0.67,0.47,0.4,0.55,0.83,2.18,1.82,2.17,1.82,0.38,0.42,0.0,0.0,0.0,0.0,16.87,23.75,160.65
month,Student,Active,02/01/20,13.72,3.0,1.5,1.17,1.52,2.8,0.9,1.98,1.7,2.83,6.4,7.7,7.75,9.53,6.83,0.67,0.0,0.0,0.0,0.0,0.0,70.0,108.93,629.25
month,Student,Active,01/01/20,7.33,0.3,0.37,0.63,1.07,0.78,1.4,1.43,2.6,3.75,3.47,2.77,1.18,1.17,1.42,0.0,0.0,0.0,0.0,0.0,0.0,29.67,52.1,228.07
