Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,Active Hours,On Hours,User Hours
month,Student,Active,02/01/21,2.87,2.03,2.93,1.12,3.52,1.95,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.18,20.7,54.85
month,Student,Active,01/01/21,2.67,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,13.72,5.67
month,Student,Active,12/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,11/01/20,20.02,4.08,2.47,2.05,2.03,0.5,0.33,0.27,1.2,2.25,1.3,1.77,0.93,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.58,53.78,147.72
month,Student,Active,10/01/20,7.58,2.27,2.48,1.55,1.22,2.08,3.03,3.13,4.07,6.58,4.57,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.77,52.08,257.72
month,Student,Active,09/01/20,1.65,3.38,0.77,0.33,0.9,0.93,1.03,0.25,0.15,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52,19.75,43.9
month,Student,Active,08/01/20,10.43,5.83,4.08,0.77,1.6,0.37,0.98,2.93,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,46.5,83.37
month,Student,Active,07/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.17,0.0
month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,03/01/20,3.28,1.4,0.6,2.15,0.88,1.0,0.5,1.95,1.52,2.15,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.52,20.97,82.07
month,Student,Active,02/01/20,1.7,1.13,1.83,2.83,1.07,3.25,2.78,3.18,2.72,0.75,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.33,30.6,123.5
month,Student,Active,01/01/20,1.22,0.37,1.43,0.43,0.72,1.2,2.27,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,11.3,37.17
month,Student,Active,12/01/19,0.07,0.05,0.53,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,1.2,3.83
