Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,Active Hours,On Hours,User Hours
month,Student,Active,03/01/21,0.03,0.02,1.42,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,8.47,4.85
month,Student,Active,02/01/21,5.0,1.63,0.28,0.78,2.28,1.12,0.62,0.5,0.5,0.25,0.18,0.43,0.65,0.32,1.38,0.37,0.0,0.0,0.0,0.0,0.0,16.3,50.15,92.4
month,Student,Active,01/01/21,1.42,0.42,0.62,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,2.58,29.23,5.68
month,Student,Active,12/01/20,0.4,0.42,0.42,0.28,0.17,0.18,0.25,0.35,0.33,0.17,0.3,0.62,0.38,0.28,0.2,0.02,0.0,0.0,0.0,0.0,0.0,4.77,21.25,37.68
month,Student,Active,11/01/20,6.45,2.8,3.1,1.98,0.65,0.6,0.65,0.85,0.6,0.47,0.53,0.88,1.55,3.62,3.52,0.78,0.0,0.0,0.0,0.0,0.0,29.03,84.3,210.08
month,Student,Active,10/01/20,1.8,1.65,1.43,0.82,1.08,0.98,0.7,0.7,0.77,1.38,1.62,0.9,2.02,2.35,2.7,2.27,1.2,0.0,0.0,0.0,0.0,24.37,65.1,240.08
month,Student,Active,09/01/20,0.18,0.53,3.02,0.03,0.03,0.03,0.03,0.08,0.03,0.1,0.07,0.13,0.27,1.28,0.45,1.43,0.08,0.0,0.0,0.0,0.0,7.8,19.92,67.87
month,Student,Active,08/01/20,1.27,0.25,0.25,0.22,0.6,1.22,0.03,0.05,0.05,0.47,0.5,0.8,1.2,0.73,0.7,2.05,1.45,0.0,0.0,0.0,0.0,11.83,78.55,128.35
month,Student,Active,07/01/20,3.1,0.1,0.13,0.08,0.07,0.2,0.08,0.05,0.02,0.12,0.08,0.1,0.12,0.2,1.52,1.38,1.38,0.0,0.0,0.0,0.0,8.73,75.2,82.7
month,Student,Active,06/01/20,0.02,0.38,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,26.9,1.08
month,Student,Active,05/01/20,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.95,0.85
month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0
month,Student,Active,03/01/20,3.83,1.47,2.7,5.55,1.88,0.8,0.7,0.7,1.6,0.85,0.72,0.53,0.63,1.53,3.95,4.2,2.33,0.0,0.0,0.0,0.0,33.98,59.0,294.78
month,Student,Active,02/01/20,2.35,0.45,0.37,0.18,0.97,0.05,0.0,0.13,0.03,0.05,0.23,0.02,0.02,0.95,1.17,0.23,0.0,0.0,0.0,0.0,0.0,7.2,25.63,49.6
